"Mutation","Database","Pattern","N","Mean_SuccessScore","Median_SuccessScore"
"G32A","GOCC","Failed Adaptation",2,-0.470624597984665,-0.470624597984665
"G32A","KEGG","Failed Adaptation",1,-0.0936764538416546,-0.0936764538416546
"G32A","REACTOME","Failed Adaptation",3,-0.362845567584062,-0.436486414013981
"G32A","SYNGO","Failed Adaptation",2,-0.0564032298674012,-0.0564032298674012
"G32A","WIKI","Failed Adaptation",1,-0.114507203642917,-0.114507203642917
"R403C","GOCC","Failed Adaptation",1,-0.56244826502425,-0.56244826502425
"R403C","KEGG","Failed Adaptation",1,-0.331166828590549,-0.331166828590549
"R403C","MITOCARTA","Failed Adaptation",1,0.207743187598162,0.207743187598162
"R403C","REACTOME","Failed Adaptation",3,-0.537562834058108,-0.487778588260728
"R403C","SYNGO","Failed Adaptation",2,-0.160796420255844,-0.160796420255844
"R403C","WIKI","Failed Adaptation",1,-0.40642915675866,-0.40642915675866
