"Mutation","Pattern","Database","Description_Short","Early","TrajDev","Late","FDR_Early","FDR_TrajDev","FDR_Late","SuccessScore","SignChange"
"G32A","Failed Adaptation","GOCC","Cytosolic Ribosome",1.58952880835394,-2.56313811995371,-2.42770666970211,0.0137746204499192,6.46834611734456e-10,2.80034862757144e-07,-0.610994953050611,TRUE
"G32A","Failed Adaptation","REACTOME","Eukaryotic Translation Initiation",1.72348078651802,-2.67596918795905,-2.43023566845821,0.0025986297244863,9.2427110286701e-13,1.64211640942487e-07,-0.49577100827067,TRUE
"G32A","Failed Adaptation","REACTOME","Srp Dependent Cotranslational Protein Targeting to Membrane",1.89878998828407,-2.83474914914389,-2.56964090189,0.000228175755146476,1.78170229461243e-14,9.88944370172903e-09,-0.436486414013981,TRUE
"G32A","Failed Adaptation","GOCC","Cytosolic Large Ribosomal Subunit",1.94906753640143,-2.70920651165073,-2.45043575786474,0.0009950380358565,2.45836938479812e-09,8.93258464836198e-06,-0.330254242918719,TRUE
"G32A","Failed Adaptation","REACTOME","Eukaryotic Translation Elongation",2.30719427012188,-3.05611316828534,-2.57115889008888,9.24128686720077e-07,3.18033351417135e-16,7.78880792498952e-08,-0.156279280467536,TRUE
"R403C","Failed Adaptation","REACTOME","Eukaryotic Translation Initiation",1.5756947282172,-2.53982528831296,-2.47286690220056,0.0155546960768534,1.57634121848516e-10,5.11124999549768e-08,-0.650196534080116,TRUE
"R403C","Failed Adaptation","GOCC","Cytosolic Large Ribosomal Subunit",1.66201779760418,-2.51061357221848,-2.45442332143659,0.0181269627604963,2.45192651956245e-07,4.16629554542903e-05,-0.56244826502425,TRUE
"R403C","Failed Adaptation","REACTOME","Eukaryotic Translation Elongation",1.93903974436828,-2.9469409744777,-2.71908445601828,0.0003647636606557,2.41648038596057e-14,3.76294609531153e-10,-0.487778588260728,TRUE
"R403C","Failed Adaptation","REACTOME","Srp Dependent Cotranslational Protein Targeting to Membrane",1.84546126862292,-2.70437882861404,-2.56453069544681,0.000852718254635678,9.91543730775789e-12,2.39698013911213e-08,-0.47471337983348,TRUE
"R403C","Failed Adaptation","WIKI","Cytoplasmic Ribosomal Proteins",1.87216506977091,-2.7528556931012,-2.48136987485122,0.00195959638598918,3.49268018361452e-11,2.61944875426392e-06,-0.40642915675866,TRUE
