name,logfc_d35,logfc_d65,padj_d35,padj_d65,n_pathways,is_ribosomal,mutation
RPL10A,0.0721979280132476,-0.154886896653647,0.904928059140468,0.999946253490429,2,True,R403C
RPL11,0.16932616871439,-0.140449722832489,0.744212385861664,0.999946253490429,2,True,R403C
RPL12,0.232226161438994,-0.0701719909878467,0.693312314913634,0.999946253490429,2,True,R403C
RPL13,0.0791517735030567,-0.139683074053158,0.916217974534599,0.999946253490429,2,True,R403C
RPL13A,0.178822997280811,-0.16943194441617,0.79472544152367,0.999946253490429,2,True,R403C
RPL14,0.0551613257790073,-0.239037245206447,0.923048440401693,0.999946253490429,2,True,R403C
RPL15,0.0838340917617142,-0.172198956710917,0.905745898890861,0.999946253490429,2,True,R403C
RPL17,0.160430667888108,-0.171574882896188,0.883296700687881,0.999946253490429,2,True,R403C
RPL18,0.0861099911626617,-0.165221820692032,0.91108297852476,0.999946253490429,2,True,R403C
RPL22,0.149578787950542,-0.0281933594524855,0.842784455216447,0.999946253490429,2,True,R403C
RPL23,0.257813803134788,-0.0869222443601778,0.577199315620674,0.999946253490429,2,True,R403C
RPL24,0.164601783082361,-0.2560728500948,0.785848326661272,0.999946253490429,2,True,R403C
RPL26,0.167228829069021,-0.152671198956176,0.742231970855901,0.999946253490429,2,True,R403C
RPL27,0.137752450334311,-0.104223695044443,0.793325740693239,0.999946253490429,2,True,R403C
RPL27A,0.190352620860098,-0.219081051607283,0.704067127260937,0.999946253490429,2,True,R403C
RPL28,0.124945812319952,-0.0389536247531606,0.835287393190866,0.999946253490429,2,True,R403C
RPL29,0.070650786962986,-0.133579183467555,0.912621153446304,0.999946253490429,2,True,R403C
RPL32,0.099318282363452,-0.143650085995517,0.878638135080353,0.999946253490429,2,True,R403C
RPL34,0.142900915807005,-0.155389930637202,0.820200613507717,0.999946253490429,2,True,R403C
RPL35A,0.154223797507049,-0.257583300194749,0.743370038976231,0.999946253490429,2,True,R403C
RPL36,0.17180308755252,-0.232546681169053,0.781274751342587,0.999946253490429,2,True,R403C
RPL37A,0.128296759817479,-0.0977745735829085,0.804090506183188,0.999946253490429,2,True,R403C
RPL38,0.139965191370004,-0.237295586802231,0.826432723250654,0.999946253490429,2,True,R403C
RPL4,0.129384881778638,-0.124041858216289,0.829737685969212,0.999946253490429,2,True,R403C
RPL5,0.170815428715578,-0.0719723656954674,0.758158976448118,0.999946253490429,2,True,R403C
RPL6,0.177845901297211,-0.186938583163043,0.681134498243079,0.999946253490429,2,True,R403C
RPL7,0.0828342533353137,-0.0687236370465314,0.851479229116104,0.999946253490429,2,True,R403C
RPL8,0.146460083601175,-0.170594540156019,0.822913007436985,0.999946253490429,2,True,R403C
RPL9,0.182561679991657,-0.155461975542945,0.807197764225638,0.999946253490429,2,True,R403C
RPLP2,0.118943687473688,-0.0585759626881721,0.865054965380293,0.999946253490429,2,True,R403C
RPS12,0.267348153745557,-0.0442501566482765,0.660962701134554,0.999946253490429,2,True,R403C
RPS14,0.222764598513336,-0.102570077935896,0.65612843340731,0.999946253490429,2,True,R403C
RPS15A,0.119534251259822,-0.178905908540342,0.87915680772292,0.999946253490429,2,True,R403C
RPS16,0.18870895103916,-0.19689819567874,0.76526584908361,0.999946253490429,2,True,R403C
RPS27,0.241631348591765,-0.0281553830459362,0.736975834688193,0.999946253490429,2,True,R403C
RPS27A,0.0887515412768849,-0.0576883344138164,0.851997656450506,0.999946253490429,2,True,R403C
RPS28,0.185407528557277,-0.0566298163266996,0.70139650159274,0.999946253490429,2,True,R403C
RPS6,0.114851379402733,0.0940149880610015,0.824373415918982,0.999946253490429,2,True,R403C
RPL21,0.105004295129364,-0.206842001473456,0.864252126026141,0.999946253490429,1,True,R403C
RPL30,0.220352608494068,-0.0745413346730182,0.759600183158771,0.999946253490429,1,True,R403C
RPL31,0.274326932788858,-0.0972837195308429,0.657661925376595,0.999946253490429,1,True,R403C
RPLP1,0.253905904526629,0.0142996221127945,0.651547827269207,0.999946253490429,1,True,R403C
RPS19,0.0937096408544615,-0.178431231688187,0.875825194649425,0.999946253490429,1,True,R403C
RPS20,0.129882905126308,-0.0914543602029738,0.78477695771161,0.999946253490429,1,True,R403C
RPS3,0.119434111569745,-0.128997776060254,0.823425711471629,0.999946253490429,1,True,R403C
RPS7,0.109656324628547,-0.119348517936412,0.844643853464396,0.999946253490429,1,True,R403C
RPS8,0.182372734627652,-0.158344469957175,0.790964643282609,0.999946253490429,1,True,R403C
SYT1,-0.879031474606776,0.107839864627463,0.594481263407035,0.999946253490429,4,False,R403C
DBN1,-0.418995012668553,0.0954233799554878,0.523030840118399,0.999946253490429,3,False,R403C
ANKS1B,-1.19520162482421,-0.103332504769664,0.564355253902302,0.999946253490429,2,False,R403C
CALM1,-0.706014569225115,0.133275850296039,0.521998759054665,0.999946253490429,2,False,R403C
CALM3,-0.479331187972845,-0.0299358253243742,0.49481312714446,0.999946253490429,2,False,R403C
FBXO45,-0.517669042458196,-0.122755010450287,0.550402002089476,0.999946253490429,2,False,R403C
FUS,-0.97910334738677,0.340202169622846,0.577199315620674,0.999946253490429,2,False,R403C
HNRNPA2B1,-0.368833549028803,0.339664152146831,0.657358264691978,0.999946253490429,2,False,R403C
HTT,-0.114567850367402,-0.043592708604141,0.779579394199025,0.999946253490429,2,False,R403C
NCS1,-0.615564524205437,0.138110822157439,0.449182555507665,0.999946253490429,2,False,R403C
SUMO1,-0.176609976286416,0.0778769004184143,0.786218502023741,0.999946253490429,2,False,R403C
SUMO2,-0.182274786357207,-0.115731793025978,0.682857348679753,0.999946253490429,2,False,R403C
TNK2,-0.308937664363301,-0.0757648436415561,0.744195129260855,0.999946253490429,2,False,R403C
