"Contrast","Database","n_pathways","avg_NES","best_pval"
"G32A_vs_Ctrl_D35","cgp",5,-1.3987068356547,9.82080285426698e-52
"G32A_vs_Ctrl_D35","reactome",2,1.73994330945006,0.00298369366845773
"G32A_vs_Ctrl_D35","gobp",1,1.91306011396993,0.0190880168567716
"Maturation_G32A_specific","cgp",3,0.90264754963602,1.8257650333195e-36
"Maturation_G32A_specific","reactome",1,-1.51874626001153,0.0354089114054584
"Maturation_R403C_specific","cgp",2,2.32087976466172,3.23527228109271e-40
"Maturation_R403C_specific","reactome",1,-1.76185044771333,0.00259023503001373
"Maturation_R403C_specific","gomf",1,1.76281718732598,0.0358074490022008
"Maturation_R403C_specific","wiki",1,1.5374815110141,0.0403735755753872
"Maturation_R403C_specific","gobp",1,-1.79440967865445,0.0436150248259185
"R403C_vs_Ctrl_D35","cgp",4,-1.02368577774343,1.88498852829232e-39
"R403C_vs_Ctrl_D35","reactome",3,0.763011220091332,3.88761382274319e-07
"R403C_vs_Ctrl_D35","gobp",4,0.173171649761186,0.000229244570547106
"R403C_vs_Ctrl_D35","wiki",1,-1.71909647917698,0.0057353809873629
"R403C_vs_Ctrl_D65","cgp",2,1.54297535842075,0.00376638680594086
"Time_Ctrl","cgp",4,-2.5623529444515,6.59017715862392e-84
"Time_Ctrl","gobp",8,1.63331482411851,0.00174143193667602
"Time_Ctrl","gomf",2,1.64909764637922,0.0281879043346933
"Time_G32A","cgp",3,-2.43453159739652,5.90957431179125e-29
"Time_G32A","reactome",2,1.99335514569117,0.000734134825291288
"Time_G32A","gobp",7,1.62301843947719,0.000898861858532567
"Time_G32A","wiki",1,1.73164928329915,0.00446351817197657
"Time_G32A","gomf",1,1.61037414869081,0.0168408010325803
"Time_G32A","gocc",1,1.68048310035115,0.0190790390689877
"Time_R403C","cgp",4,-1.47656516536353,8.49039097477053e-25
"Time_R403C","wiki",1,2.12385418527709,7.79345856534973e-06
"Time_R403C","gobp",15,1.76703505562776,0.000124222903552474
"Time_R403C","reactome",4,1.94248876883361,0.00164152428645199
"Time_R403C","gomf",3,1.65694956891359,0.00209279530749214
"Time_R403C","gocc",3,1.78018269009109,0.0028382794763521
"Time_R403C","kegg",1,1.95021148364431,0.015966472452213
