"Gene","Presynaptic","Postsynaptic","Both"
"RPL10",TRUE,TRUE,TRUE
"RPL10A",TRUE,TRUE,TRUE
"RPL11",TRUE,TRUE,TRUE
"RPL12",TRUE,TRUE,TRUE
"RPL13",TRUE,TRUE,TRUE
"RPL13A",TRUE,TRUE,TRUE
"RPL14",TRUE,TRUE,TRUE
"RPL15",TRUE,TRUE,TRUE
"RPL17",TRUE,TRUE,TRUE
"RPL18",TRUE,TRUE,TRUE
"RPL21",FALSE,TRUE,FALSE
"RPL22",TRUE,TRUE,TRUE
"RPL23",TRUE,TRUE,TRUE
"RPL23A",TRUE,TRUE,TRUE
"RPL24",TRUE,TRUE,TRUE
"RPL26",TRUE,TRUE,TRUE
"RPL27",TRUE,TRUE,TRUE
"RPL27A",TRUE,TRUE,TRUE
"RPL28",TRUE,TRUE,TRUE
"RPL29",TRUE,TRUE,TRUE
"RPL30",FALSE,TRUE,FALSE
"RPL31",FALSE,TRUE,FALSE
"RPL32",TRUE,TRUE,TRUE
"RPL34",TRUE,TRUE,TRUE
"RPL35",TRUE,TRUE,TRUE
"RPL35A",TRUE,TRUE,TRUE
"RPL36",TRUE,TRUE,TRUE
"RPL36A",TRUE,TRUE,TRUE
"RPL37",TRUE,TRUE,TRUE
"RPL37A",TRUE,TRUE,TRUE
"RPL38",TRUE,TRUE,TRUE
"RPL4",TRUE,TRUE,TRUE
"RPL5",TRUE,TRUE,TRUE
"RPL6",TRUE,TRUE,TRUE
"RPL7",TRUE,TRUE,TRUE
"RPL7A",TRUE,TRUE,TRUE
"RPL8",TRUE,TRUE,TRUE
"RPL9",TRUE,TRUE,TRUE
"RPLP0",TRUE,TRUE,TRUE
"RPLP1",FALSE,TRUE,FALSE
"RPLP2",TRUE,TRUE,TRUE
"RPS10",TRUE,TRUE,TRUE
"RPS11",TRUE,TRUE,TRUE
"RPS12",TRUE,TRUE,TRUE
"RPS13",TRUE,TRUE,TRUE
"RPS14",TRUE,TRUE,TRUE
"RPS15",FALSE,TRUE,FALSE
"RPS15A",TRUE,TRUE,TRUE
"RPS16",TRUE,TRUE,TRUE
"RPS17",FALSE,TRUE,FALSE
"RPS18",FALSE,TRUE,FALSE
"RPS19",FALSE,TRUE,FALSE
"RPS2",FALSE,TRUE,FALSE
"RPS20",FALSE,TRUE,FALSE
"RPS21",FALSE,TRUE,FALSE
"RPS23",FALSE,TRUE,FALSE
"RPS24",TRUE,TRUE,TRUE
"RPS26",TRUE,TRUE,TRUE
"RPS27",TRUE,TRUE,TRUE
"RPS27A",TRUE,TRUE,TRUE
"RPS28",TRUE,TRUE,TRUE
"RPS3",FALSE,TRUE,FALSE
"RPS3A",FALSE,TRUE,FALSE
"RPS5",TRUE,TRUE,TRUE
"RPS6",TRUE,TRUE,TRUE
"RPS7",FALSE,TRUE,FALSE
"RPS8",FALSE,TRUE,FALSE
"RPS9",FALSE,TRUE,FALSE
"RPSA",FALSE,TRUE,FALSE
"UBA52",TRUE,TRUE,TRUE
